254: 덕산그린피아상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 용지로 64 | Lat/Lon: 35.2216794,128.676027 | Cycle: 매일
255: 대동훼미리코아상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 대정로 138 | Lat/Lon: 35.2117479,128.7076239 | Cycle: 매일
256: 성원3차종합상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 대암로80 | Lat/Lon: 35.21499999,128.7052999 | Cycle: 매일
257: 대방덕산1차상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 대정로 131 | Lat/Lon: 35.2136147,128.7068944 | Cycle: 매일
258: 동성올림픽타운 | Type: 상설장 | Addr: 경상남도 창원시 성산구 중앙대로 77 | Lat/Lon: 35.22223259,128.6777296 | Cycle: 매일
260: 사파동성종합상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 창이대로 733 | Lat/Lon: 35.21947569,128.702196 | Cycle: 매일
262: 성원그랜드쇼핑상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 동산로 124 | Lat/Lon: 35.21937212,128.6915851 | Cycle: 매일
264: 양곡유신종합상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 신촌로 21 | Lat/Lon: 35.20755326,128.6267741 | Cycle: 매일
265: 중앙시장(창원중앙시장) | Type: 상설장 | Addr: 경상남도 창원시 성산구 외동반림로126번길 50 | Lat/Lon: 35.22720544,128.6760568 | Cycle: 매일
266: 창원캔버라상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 중앙대로61번길 4 | Lat/Lon: 35.22123568,128.6768305 | Cycle: 매일
267: 창원코아상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 상남로 71 | Lat/Lon: 35.22044112,128.6795378 | Cycle: 매일
268: 경민인터빌상가 | Type: 상설장 | Addr: 경상남도 창원시 마산회원구 양덕북12길 113 | Lat/Lon: 35.23190306,128.5838182 | Cycle: 매일
269: 기산프라자 | Type: 상설장 | Addr: 경상남도 창원시 마산합포구 오동동14길 29 | Lat/Lon: 35.20528716,128.58082 | Cycle: 매일
270: 대동중앙상가 | Type: 상설장 | Addr: 경상남도 창원시 의창구 반계로 105 | Lat/Lon: 35.2545535,128.6165941 | Cycle: 매일
271: 롯데종합상가 | Type: 상설장 | Addr: 경상남도 창원시 의창구 용지로225 | Lat/Lon: 35.23403968,128.685431 | Cycle: 매일
272: 명곡종합상가 | Type: 상설장 | Addr: 경상남도 창원시 의창구 명서로116번길 20 | Lat/Lon: 35.24848527,128.646224 | Cycle: 매일
273: 봉곡프라자상가 | Type: 상설장 | Addr: 경상남도 창원시 의창구 창이대로205번길 5 | Lat/Lon: 35.24543773,128.659521 | Cycle: 매일
300: 대동그린코아상가 | Type: 상설장 | Addr: 경상남도 창원시 성산구 창원천로 294 | Lat/Lon: 35.24508505,128.670389 | Cycle: 매일
310: 진주동성상가 | Type: 상설장 | Addr: 경상남도 진주시 진주대로 901 | Lat/Lon: 35.18091944,128.0893345 | Cycle: 매일
316: 동부종합상가 | Type: 상설장 | Addr: 경상남도 진주시 대신로299번길 7 | Lat/Lon: 35.18704685,128.1162152 | Cycle: 매일
319: 이현종합상가 | Type: 상설장 | Addr: 경상남도 진주시 신안로 165 | Lat/Lon: 35.19198664,128.0661291 | Cycle: 매일
321: 진주논개시장(장대시장) | Type: 상설장 | Addr: 경상남도 진주시 진양호로569번길 12 | Lat/Lon: 35.19506184,128.0872175 | Cycle: 매일
323: 평거한보하이타운 | Type: 상설장 | Addr: 경상남도 진주시 순환로 553번길 7 | Lat/Lon: 35.17261455,128.05929 | Cycle: 매일
327: 다대씨-파크 | Type: 상설장 | Addr: 부산광역시 사하구 다대동로 20 | Lat/Lon: 35.05514162,128.9719714 | Cycle: 매일
331: 성남남한산성시장(은행골목시장) | Type: 상설장 | Addr: 경기도 성남시 중원구 산성대로518번길 7 | Lat/Lon: 37.4569514,127.1644284 | Cycle: 매일
361: 부산산업용재유통상가 | Type: 상설장 | Addr: 부산광역시 사상구 새벽로 131 | Lat/Lon: 35.15329601,128.9810797 | Cycle: 매일
364: 부산산업용품상협동조합 | Type: 상설장 | Addr: 부산광역시 사상구 괘감로 37 | Lat/Lon: 35.15975736,128.9804306 | Cycle: 매일
368: 우신종합상가 | Type: 상설장 | Addr: 부산광역시 사상구 백양대로 880 | Lat/Lon: 35.18311806,128.9912824 | Cycle: 매일
370: 부산광역시건축자재판매협동조합 | Type: 상설장 | Addr: 부산광역시 사상구 강변대로 570 | Lat/Lon: 35.13287687,128.9653867 | Cycle: 매일
371: 부산광역시철강판매협동조합 | Type: 상설장 | Addr: 부산광역시 사상구 강변대로532번길 17-26 | Lat/Lon: 35.13320862,128.9666014 | Cycle: 매일
372: 주례현대무지개상가 | Type: 상설장 | Addr: 부산광역시 사상구 주례로 93 | Lat/Lon: 35.14496154,129.0049881 | Cycle: 매일
373: 주례럭키종합상가 | Type: 상설장 | Addr: 부산광역시 사상구 가야대로 284번길 12 | Lat/Lon: 35.14874465,129.0029195 | Cycle: 매일
374: 구덕대림상가 | Type: 상설장 | Addr: 부산광역시 사상구 학감대로49번길 62 | Lat/Lon: 35.13532193,128.9922457 | Cycle: 매일
375: 학장반도보라상가 | Type: 상설장 | Addr: 부산광역시 사상구 수산시 사상구 대동로 98 | Lat/Lon: 35.1372845,128.9791729 | Cycle: 매일
384: 가야벽산상가 | Type: 상설장 | Addr: 부산광역시 부산진구 엄광로 122 | Lat/Lon: 35.14746265,129.0281338 | Cycle: 매일
389: 국제상가 | Type: 상설장 | Addr: 부산광역시 부산진구 백양관문로 104-1 | Lat/Lon: 35.16843795,129.0282049 | Cycle: 매일
393: 골드테마거리 | Type: 상설장 | Addr: 부산광역시 부산진구 범일로 134 중앙빌딩 | Lat/Lon: 35.14193347,129.0597796 | Cycle: 매일
397: 부전상가 | Type: 상설장 | Addr: 부산광역시 부산진구 중앙대로 755번길 21 | Lat/Lon: 35.16034809,129.0595526 | Cycle: 매일
436: 중앙메가프라자 | Type: 상설장 | Addr: 대전광역시 동구 중앙로 200번길 99 | Lat/Lon: 36.3267328,127.4339543 | Cycle: 매일
437: 전통중앙도매상가 | Type: 상설장 | Addr: 대전광역시 동구 대전로 786 | Lat/Lon: 36.32983375,127.4337042 | Cycle: 매일
465: 지산목련시장(지산종합시장) | Type: 상설장 | Addr: 대구광역시 수성구 용학로42길 9 | Lat/Lon: 35.82079684,128.631863 | Cycle: 매일
472: 동산상가 | Type: 상설장 | Addr: 대구광역시 중구 큰장로26길 65 | Lat/Lon: 35.86895745,128.5817199 | Cycle: 매일
474: 서문시장 제1지구2층(포목시장) | Type: 상설장 | Addr: 대구광역시 중구 큰장로28길 10 | Lat/Lon: 35.86938777,128.5798352 | Cycle: 매일
475: 서문시장 제1지구1층(직물시장) | Type: 상설장 | Addr: 대구광역시 중구 큰장로28길 10 | Lat/Lon: 35.86938777,128.5798352 | Cycle: 매일
476: 명품프라자상가 | Type: 상설장 | Addr: 대구광역시 중구 큰장로 28길 27 | Lat/Lon: 35.86990532,128.5809084 | Cycle: 매일
478: 서문시장4지구종합대체상가(베네시움) | Type: 상설장 | Addr: 대구광역시 중구 달성로 18 | Lat/Lon: 35.86672736,128.5827273 | Cycle: 매일
491: 전기조명관 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 50 | Lat/Lon: 35.90569574,128.6082699 | Cycle: 매일
